lukashengl@mac-mini HASS-Dashboard % docker compose logs --tail=100 2>&1 | grep -E "(Chunk|Codec|Stream started|client disconnect)"
hass-dashboard  | [ProtectLivestream] Stream started for: Garten von Seite - using stream interface
hass-dashboard  | [ProtectLivestream] Chunk #1 for Garten von Seite - size: 1183
hass-dashboard  | [ProtectLivestream] Chunk #4 for Haus vorne - size: 3023
hass-dashboard  | [ProtectLivestream] Chunk #5 for Haus vorne - size: 140373
hass-dashboard  | [ProtectLivestream] Stream started for: Garten von oben - using stream interface
hass-dashboard  | [ProtectLivestream] Chunk #1 for Garten von oben - size: 1183
hass-dashboard  | [ProtectLivestream] Chunk #2 for Garten von Seite - size: 57761
hass-dashboard  | [ProtectLivestream] Stream started for: Hautüre - using stream interface
hass-dashboard  | [ProtectLivestream] Chunk #1 for Hautüre - size: 1181
hass-dashboard  | [ProtectLivestream] Chunk #2 for Hautüre - size: 80924
hass-dashboard  | [ProtectLivestream] Chunk #2 for Garten von oben - size: 62183
hass-dashboard  | [ProtectLivestream] Chunk #3 for Garten von Seite - size: 3040
hass-dashboard  | [ProtectLivestream] Chunk #3 for Hautüre - size: 12868
hass-dashboard  | [ProtectLivestream] Stream started for: Garagentor - using stream interface
hass-dashboard  | [ProtectLivestream] Chunk #4 for Hautüre - size: 3281
hass-dashboard  | [ProtectLivestream] Chunk #1 for Garagentor - size: 1183
hass-dashboard  | [ProtectLivestream] Chunk #3 for Garten von oben - size: 3151
hass-dashboard  | [ProtectLivestream] Chunk #5 for Hautüre - size: 18859
hass-dashboard  | [ProtectLivestream] Chunk #4 for Garten von Seite - size: 3106
hass-dashboard  | [ProtectLivestream] Stream started for: Einfahrt von hinten - using stream interface
hass-dashboard  | [ProtectLivestream] Chunk #2 for Garagentor - size: 67148
hass-dashboard  | [ProtectLivestream] Chunk #4 for Garten von oben - size: 3170
hass-dashboard  | [ProtectLivestream] Chunk #1 for Einfahrt von hinten - size: 1183
hass-dashboard  | [ProtectLivestream] Chunk #5 for Garten von Seite - size: 3037
hass-dashboard  | [ProtectLivestream] Chunk #3 for Garagentor - size: 5014
hass-dashboard  | [ProtectLivestream] Chunk #5 for Garten von oben - size: 3054
hass-dashboard  | [ProtectLivestream] Chunk #2 for Einfahrt von hinten - size: 60030
hass-dashboard  | [ProtectLivestream] Stream started for: Garten von hinten - using stream interface
hass-dashboard  | [ProtectLivestream] Chunk #4 for Garagentor - size: 4058
hass-dashboard  | [ProtectLivestream] Chunk #3 for Einfahrt von hinten - size: 3280
hass-dashboard  | [ProtectLivestream] Chunk #1 for Garten von hinten - size: 1183
hass-dashboard  | [ProtectLivestream] Chunk #5 for Garagentor - size: 4151
hass-dashboard  | [ProtectLivestream] Chunk #2 for Garten von hinten - size: 150457
hass-dashboard  | [ProtectLivestream] Chunk #4 for Einfahrt von hinten - size: 3246
hass-dashboard  | [ProtectLivestream] Stream started for: Carport - using stream interface
hass-dashboard  | [ProtectLivestream] Chunk #1 for Carport - size: 1183
hass-dashboard  | [ProtectLivestream] Chunk #3 for Garten von hinten - size: 3298
hass-dashboard  | [ProtectLivestream] Chunk #5 for Einfahrt von hinten - size: 2950
hass-dashboard  | [ProtectLivestream] Chunk #2 for Carport - size: 66575
hass-dashboard  | [ProtectLivestream] Chunk #4 for Garten von hinten - size: 3190
hass-dashboard  | [ProtectLivestream] Chunk #3 for Carport - size: 3111
hass-dashboard  | [ProtectLivestream] Chunk #5 for Garten von hinten - size: 3002
hass-dashboard  | [ProtectLivestream] Chunk #4 for Carport - size: 3099
hass-dashboard  | [ProtectLivestream] Chunk #5 for Carport - size: 2831
hass-dashboard  | [ProtectLivestream] Chunk #100 for Hoftor - size: 17852
hass-dashboard  | [ProtectLivestream] Chunk #100 for Hautüre - size: 26786
hass-dashboard  | [ProtectLivestream] Chunk #100 for Garten von Seite - size: 337026
hass-dashboard  | [ProtectLivestream] Chunk #100 for Garten von oben - size: 2194
hass-dashboard  | [ProtectLivestream] Chunk #100 for Haus vorne - size: 1408
hass-dashboard  | [ProtectLivestream] Chunk #100 for Einfahrt von hinten - size: 255246
lukashengl@mac-mini HASS-Dashboard % 
